"","intensity","load"
"313",12245.9423828125,0
"314",15717.9169921875,3
"315",15173.2841796875,0
"316",11331.177734375,0
"317",12340.4790039062,0
"318",12781.74609375,4
"319",13496.888671875,0
"320",13575.4321289062,3
"321",12708.2221679688,1
"322",13888,9
"323",7579.99438476562,0
"324",14399.015625,1
"325",12047.5571289062,2
"326",15885.4077148438,0
"327",13421.9755859375,3
"328",15207.0590820312,1
"329",14879.33203125,0
"330",9798.65771484375,0
"331",14927.68359375,0
"332",14492.3740234375,0
"333",12730.3857421875,1
"334",12411.2319335938,3
"335",15417.3134765625,1
"336",14970.7392578125,0
"337",10846.3154296875,4
"338",11935.16796875,3
"339",12165.3569335938,1
"340",15407.111328125,0
"341",12015.416015625,2
"342",15349.1416015625,0
"343",15254.857421875,0
"344",15733.2133789062,2
"345",15416.2856445312,0
"346",13110.61328125,0
"347",16032,0
"348",13212.9125976562,0
"349",14151.1811523438,4
"350",12273.7778320312,0
"351",12597.4970703125,0
"352",11520,0
"353",13875.5610351562,0
"354",15328.9697265625,4
"355",15539.3325195312,0
"356",14319.25,2
"357",13514.19140625,1
"358",14480.166015625,0
"359",15346.115234375,0
"360",14911.890625,4
"361",14388.2451171875,0
"362",12361.9633789062,2
"363",15644.4443359375,0
"364",14203.2163085938,2
"365",14764.1005859375,4
"366",11298.2416992188,3
"367",15445.3330078125,2
"368",13825.7387695312,0
"369",14473.3583984375,4
"370",11611.1826171875,0
"371",14009.3349609375,1
"372",13465.12109375,0
"373",13732.2265625,2
"374",14147.91796875,3
"375",11412.8432617188,0
"376",9959.2587890625,1
"377",13721.599609375,4
"378",15521.185546875,2
"379",12199.03515625,0
"380",15815.111328125,3
"381",12949.93359375,1
"382",14580.7060546875,3
"383",15089.2309570312,0
"384",11442.2768554688,2
"385",12484.9228515625,4
"386",11495.47265625,2
"387",15452.466796875,4
"388",14968.2890625,4
"389",13144.4365234375,3
"390",13243.0771484375,0
"391",8578.09033203125,0
"392",12921.4912109375,0
"393",12976.2080078125,1
"394",10842.5048828125,2
"395",13034.0576171875,3
"396",13440,0
"397",15947.44921875,0
"398",15667.6298828125,1
"399",13369.19140625,0
"400",12421.2607421875,0
"401",15383.2724609375,4
"402",15193.599609375,0
"403",13082.3173828125,0
"404",8754.3935546875,0
"405",15031.546875,0
"406",10492.2705078125,0
"407",11299.8256835938,3
"408",12444.7329101562,1
"409",12305.4541015625,4
"410",13775.7685546875,0
"411",11886.107421875,0
"412",15192.6889648438,2
"413",8954.3740234375,0
"414",13634.3110351562,2
"415",12882.7080078125,0
"416",11136.2685546875,1
"417",14208,0
"418",14260.5712890625,0
"419",14440.8725585938,4
"420",11042.7119140625,1
"421",14701.177734375,3
"422",10655.134765625,3
"423",11892.6123046875,3
"424",15428.2666015625,0
"425",11056.607421875,3
"426",11395.8549804688,2
"427",11909.5654296875,0
"428",14982.095703125,0
"429",10610.869140625,0
"430",14295.5791015625,0
"431",12055.0014648438,1
"432",12107.787109375,0
"433",15499.3876953125,4
"434",15744.7626953125,4
"435",11259.5859375,0
"436",13844.48046875,2
"437",14464,0
"438",15956.0639648438,4
"439",13394,2
"440",10397.775390625,4
"441",12732.6318359375,0
"442",14825.5561523438,2
"443",14241.9140625,2
"444",15850.3046875,0
"445",10528.25390625,1
"446",15786.6669921875,1
"447",10316.1948242188,1
"448",13879.5185546875,0
"449",12681.9379882812,4
"450",12471.3515625,2
"451",15025.4931640625,1
"452",14730.9716796875,3
"453",15300.8759765625,4
"454",14481.248046875,0
"455",13278.6796875,0
"456",10627.76953125,0
"457",12385.912109375,0
"458",13607.384765625,0
"459",14991.5166015625,4
"460",10356.36328125,1
"461",14234.42578125,4
"462",14489.599609375,0
"463",14326.5185546875,0
"464",15445.3569335938,4
"465",12716.486328125,0
"466",14664.7841796875,0
"467",12435.0830078125,0
"468",12945.568359375,1
"469",13807.0688476562,0
"470",12716.1376953125,0
"471",15307.310546875,2
"472",15590.400390625,3
"473",9773.4580078125,1
"474",11812.5590820312,0
"475",11861.6743164062,2
"476",15601.341796875,0
"477",15031.5947265625,4
"478",12315.978515625,0
"479",11488,0
"480",13927.1108398438,0
"481",15833.462890625,4
"482",15751.658203125,1
"483",15411.2001953125,3
"484",15950.96484375,2
"485",10772.48046875,0
"486",13182.85546875,0
"487",11073.828125,2
"488",12840.9599609375,2
"489",15124.078125,0
"490",15824.5927734375,0
"491",15014.8310546875,4
"492",15689.751953125,0
"493",11980.7329101562,0
"494",15307.7548828125,3
"495",9712.484375,0
"496",13986.4619140625,0
"497",14415.18359375,0
"498",10529.2216796875,1
"499",12807.8725585938,0
"500",13960.7534179688,4
"501",15705.01953125,0
"502",10912.744140625,0
"503",13313.1962890625,0
"504",15696.841796875,0
"505",15147.673828125,3
"506",11050.1650390625,1
"507",14033.1479492188,3
"508",14600.3891601562,0
"509",12839.384765625,0
"510",14215.220703125,0
"511",11059.6918945312,0
"512",13236.7060546875,0
"513",15831.8608398438,0
"514",11636.6665039062,0
"515",15104,0
"516",11932.6713867188,0
"517",10746.2568359375,1
"518",14491.5561523438,1
"519",12954.56640625,0
"520",11104.943359375,0
"521",15222.7841796875,0
"522",10906.791015625,0
"523",13712.8930664062,1
"524",15464.2202148438,0
"525",15731.61328125,3
"526",11912.7998046875,3
"527",9620.59765625,1
"528",12551.1518554688,0
"529",13820.4931640625,3
"530",15616,4
"531",13177.2626953125,0
"532",14761.7392578125,2
"533",12637.384765625,1
"534",14195.8852539062,0
"535",15892.5712890625,9
"536",10023.384765625,0
"537",12202.2651367188,3
"538",13689.2485351562,0
"539",12547.4262695312,0
"540",15353.2626953125,0
"541",13768.888671875,0
"542",11421.0556640625,0
"543",15447.7651367188,0
"544",11543.3823242188,0
"545",15617.2426757812,0
"546",14203.2587890625,0
"547",13343.7221679688,3
"548",13362.0869140625,0
"549",11312.884765625,0
"550",14636.8530273438,4
"551",12733.3330078125,0
"552",12710.1118164062,4
"553",10525.4404296875,0
"554",13831.81640625,4
"555",13951.3095703125,0
"556",12906.6669921875,1
"557",12042.322265625,1
"558",14475.2431640625,2
"559",12685.1284179688,0
"560",13294.8374023438,1
"561",15639.1625976562,2
"562",12697.9116210938,0
"563",14769.8637695312,0
"564",9421.7138671875,0
"565",13856.58203125,0
"566",11699.181640625,0
"567",11905.9252929688,0
"568",15812.9228515625,9
"569",12245.0346679688,2
"570",13948.271484375,0
"571",11046.1279296875,4
"572",14106.947265625,2
"573",12186.4799804688,4
"574",13340,0
"575",13578.5205078125,2
"576",14943.701171875,0
"577",14713.0180664062,0
"578",15731.61328125,4
"579",14504.314453125,1
"580",13348.828125,3
"581",11292.400390625,4
"582",10389.533203125,1
"583",15632,0
"584",10866.0595703125,0
"585",13821.3876953125,0
"586",12148.59375,4
"587",12468.005859375,1
"588",13048.5883789062,1
"589",14887.4672851562,2
"590",13079.0634765625,2
"591",15118.4228515625,1
"592",13355.982421875,0
"593",10652.2255859375,0
"594",13596.857421875,2
"595",14115.83984375,1
"596",11107.83984375,1
"597",14555.4287109375,0
"598",13626.3510742188,0
"599",15728.3198242188,0
"600",12451.310546875,1
"601",15900.4443359375,3
"602",11730.7172851562,2
"603",13246.3671875,2
"604",16128,9
"605",14566.1611328125,4
"606",8780.30810546875,1
"607",15186.353515625,4
"608",14177.623046875,0
"609",13850.5708007812,0
"610",14624.451171875,2
"611",13144.0595703125,3
"612",15854.93359375,4
"613",15854.93359375,9
"614",11281.73828125,0
"615",11733.0874023438,1
"616",12335.4194335938,0
"617",14211.4506835938,1
"618",15533.7138671875,4
"619",13185.0751953125,3
"620",15808,4
"621",14786.7822265625,0
"622",15321.4248046875,4
"623",12884.9721679688,2
"624",13580.4321289062,3
"625",9707.2431640625,2
"626",14054.400390625,0
"627",12525.3330078125,0
"628",15611.029296875,0
"629",15468.3076171875,0
"630",15133.8916015625,0
"631",15448.275390625,0
"632",16128,4
"633",12206.1499023438,2
"634",15066.5361328125,0
"635",8942.03515625,0
"636",12466.716796875,0
"637",14230.0693359375,4
"638",13853.767578125,1
"639",15344.30859375,0
"640",15636.48046875,0
"641",10320.3408203125,0
"642",8733.60498046875,0
"643",14966.8813476562,0
"644",13952,0
"645",14127.7607421875,0
"646",15731.5322265625,4
"647",12778.212890625,0
"648",15737.904296875,3
"649",8133.95361328125,0
"650",10724.392578125,0
"651",9036.7998046875,1
"652",14879.6044921875,0
"653",12008.0908203125,1
"654",13267.6533203125,4
"655",15622.97265625,4
"656",15812.9228515625,0
"657",11918.8979492188,0
"658",11672.8452148438,0
"659",15172.2368164062,4
"660",11886.1713867188,0
"661",12623.8720703125,2
"662",12455.2529296875,2
"663",13677.3037109375,4
"664",11273.4814453125,0
"665",11803.1513671875,0
"666",13731.2119140625,0
"667",13833.2529296875,3
"668",11066.0180664062,0
"669",15165.4438476562,4
"670",15066.5361328125,0
"671",8972.4716796875,0
"672",15222.2153320312,4
"673",15479.8984375,3
"674",12283.5087890625,3
"675",13255.5927734375,0
"676",15631.515625,0
"677",11781.87109375,2
"678",13544.2963867188,0
"679",14462.0668945312,0
"680",15685.0092773438,4
"681",13436.4350585938,0
"682",14771.439453125,0
"683",12588.73828125,3
"684",9777.27734375,1
"685",12764.6240234375,0
"686",14848,3
"687",11244.095703125,3
"688",11980.7998046875,4
"689",12231.4448242188,3
"690",15183.2377929688,3
"691",13038,0
"692",15894.587890625,4
"693",11386.8798828125,1
"694",12027.0834960938,0
"695",13718.1708984375,4
"696",13646.9077148438,0
"697",11892.98046875,0
"698",11771.0991210938,0
"699",14845.0234375,0
"700",15616,4
"701",15958.501953125,0
"702",15117.3115234375,0
"703",12860.4267578125,2
"704",15471.4047851562,0
"705",11954.0209960938,4
"706",13461.4892578125,3
"707",12956.9033203125,0
"708",13167.3046875,0
"709",15074.576171875,1
"710",15155.2001953125,4
"711",15059.8095703125,0
"712",10157.37890625,0
"713",14893.5595703125,4
"714",15109.818359375,0
"715",15499.0825195312,0
"716",15712.865234375,4
"717",12690.962890625,0
"718",15674.1586914062,4
"719",15222.568359375,4
"720",12102.9912109375,0
"721",13650.3793945312,0
"722",9955.5556640625,0
"723",14328.302734375,0
"724",15568.6787109375,0
"725",14032.3115234375,4
"726",13320.8935546875,2
"727",9007.54296875,1
"728",13614.8129882812,0
"729",15463.55078125,3
"730",15536.775390625,2
"731",11629.1010742188,0
"732",15587.3798828125,0
"733",16128,4
"734",12238.9340820312,0
"735",12071.2353515625,0
"736",13420.8110351562,0
"737",12428.9057617188,0
"738",13633.6411132812,0
"739",14929.6596679688,4
"740",15832.185546875,4
"741",12158.060546875,0
"742",15532.1376953125,3
"743",15769.0434570312,1
"744",12426.3579101562,0
"745",15225.5600585938,0
"746",15734.42578125,0
"747",15755.63671875,3
"748",15183.7495117188,2
"749",11620.486328125,1
"750",13722.150390625,1
"751",13593.599609375,0
"752",13160.1865234375,3
"753",12917.4370117188,0
"754",13627.2841796875,0
"755",14780.1708984375,0
"756",13222.9560546875,1
"757",12822.6372070312,0
"758",13994.6669921875,0
"759",14440.9145507812,0
"760",10988.1376953125,2
"761",15806.7451171875,4
"762",15831.8608398438,0
"763",13888.5380859375,0
"764",15843.7094726562,2
"765",15717.287109375,0
"766",15388.9814453125,0
"767",14574.3491210938,1
"768",13345.3916015625,0
"769",14081.6000976562,4
"770",13362.478515625,2
"771",12154.3618164062,4
"772",15050.7578125,0
"773",16071.8046875,4
"774",13484.7602539062,3
"775",11100.595703125,0
"776",15151.1806640625,3
"777",13137.3461914062,4
"778",14432.931640625,4
"779",14896.5048828125,2
"780",13904.751953125,0
"781",13636.7592773438,0
"782",14110.6518554688,2
"783",14135.251953125,1
"784",14547.3061523438,3
"785",15646.814453125,0
"786",14596.1313476562,3
"787",13626.75390625,2
"788",15616,0
"789",13820.5634765625,0
"790",14421.3012695312,0
"791",10356.396484375,1
"792",11614.5234375,4
"793",15535.3046875,3
"794",11847.7314453125,0
"795",14298.5844726562,0
"796",15854.03515625,1
"797",10393.12109375,4
"798",10081.9755859375,0
"799",11005.8544921875,3
"800",8800.5615234375,1
"801",10790.208984375,1
"802",15303.5034179688,3
"803",11010.3920898438,0
"804",13606.1279296875,0
"805",10819.5390625,3
"806",15069.8061523438,1
"807",15400.0693359375,0
"808",8576.98193359375,0
"809",14908.74609375,0
"810",10778.74609375,0
"811",15802.9208984375,3
"812",12886.6240234375,1
"813",13498.6669921875,0
"814",11626.9853515625,1
"815",12293.9326171875,0
"816",13919.0859375,0
"817",15774.896484375,4
"818",15042.7041015625,4
"819",12665.1118164062,0
"820",15654.982421875,0
"821",12169.638671875,4
"822",11077.09765625,1
"823",14521.2626953125,2
"824",15114.0390625,0
"825",15583.0859375,4
"826",13816.296875,0
"827",12190.1787109375,9
"828",11847.775390625,0
"829",13402.10546875,0
"830",15678.2036132812,4
"831",15808,4
"832",11108.7216796875,4
"833",15893.7514648438,2
"834",13178.046875,0
"835",11757.455078125,0
"836",11703.2724609375,0
"837",9894.91259765625,0
"838",15248.869140625,4
"839",15263.1215820312,4
"840",15399.4038085938,0
"841",15266.1337890625,4
"842",15147.8857421875,2
"843",14414.3872070312,0
"844",12710.400390625,0
"845",15288.6015625,3
"846",10447.9287109375,0
"847",8508.712890625,0
"848",13221.2739257812,0
"849",9637.1162109375,1
"850",14876.4443359375,1
"851",14529.1762695312,4
"852",15398.400390625,2
"853",12539.4287109375,0
"854",13881.53515625,2
"855",14186.3896484375,0
"856",13797.30078125,0
"857",14693.9790039062,0
"858",13290.8588867188,0
"859",15385.9008789062,4
"860",15158.302734375,4
"861",14988.7021484375,0
"862",12770,2
"863",9244.4443359375,2
"864",12667.6967773438,0
"865",11245.7905273438,0
"866",12592.9072265625,4
"867",14916.9228515625,0
"868",15053.6064453125,2
"869",14113.3916015625,0
"870",14040.943359375,0
"871",15037.8666992188,0
"872",13568,0
"873",15125.2846679688,0
"874",14776.4296875,0
"875",15334,3
"876",11693.9130859375,3
"877",14233.970703125,2
"878",12497.4462890625,0
"879",12024.2890625,0
"880",11846.1801757812,4
"881",13888.7412109375,4
"882",12271.05859375,1
"883",13706.0424804688,0
"884",11215.6640625,2
"885",13578.10546875,0
"886",14569.9311523438,2
"887",11143.419921875,4
"888",11777.453125,1
"889",13613.1767578125,0
"890",14968.2807617188,4
"891",15025.8984375,0
"892",12506,1
"893",14688,0
"894",15786.6669921875,2
"895",9540.1103515625,0
"896",11808.30078125,1
"897",11723.5561523438,0
"898",15868.759765625,4
"899",14355.5048828125,0
"900",14218.509765625,0
"901",12598.3564453125,0
"902",13429.9311523438,0
"903",10455.5791015625,1
"904",12791.3852539062,0
"905",13892.7763671875,3
"906",15631.515625,4
"907",15817.142578125,4
"908",12573.5200195312,2
"909",15818.1821289062,2
"910",11231.1796875,4
"911",13537.8828125,4
"912",15460.7744140625,0
"913",10320.2392578125,1
"914",15445.3330078125,0
"915",15638.857421875,3
"916",13315.7099609375,0
"917",14314.6752929688,0
"918",14266.576171875,2
"919",14555.4287109375,1
"920",13036.01953125,4
"921",14316.5380859375,2
"922",13837.2412109375,0
"923",11243.5703125,0
"924",10485.4794921875,0
"925",14048.7641601562,4
"926",12881.345703125,0
"927",9636.8037109375,0
"928",12060.6884765625,1
"929",13444.9272460938,4
"930",13248,0
"931",13485.7138671875,0
"932",13452.37890625,2
"933",14920.6484375,0
"934",15200,1
"935",13443.037109375,3
"936",13845.3330078125,0
"937",12991.51171875,0
"938",15114.8935546875,0
"939",14304.1474609375,4
"940",15380.7563476562,0
"941",13874.77734375,0
"942",14983.2729492188,3
"943",15217.0869140625,4
"944",15754.7412109375,3
"945",13044.7060546875,0
"946",12053.041015625,3
"947",12297.3095703125,0
"948",14129.0737304688,0
"949",15812.9228515625,0
"950",13702.1254882812,3
"951",15746,2
"952",12785.6420898438,0
"953",14985.8334960938,0
"954",14485.5532226562,4
"955",13010.1494140625,0
"956",14159.728515625,4
"957",12866.0708007812,0
"958",15170.1938476562,0
"959",9971.0927734375,0
"960",11950.080078125,1
"961",14022.2724609375,4
"962",14205.7553710938,0
"963",14888,2
"964",12119.1591796875,0
"965",12925.0908203125,0
"966",14859.0849609375,3
"967",14839.560546875,0
"968",15733.3330078125,0
"969",15121.7421875,4
"970",13693.830078125,0
"971",9846.02685546875,1
"972",14568.2958984375,0
"973",15845.208984375,4
"974",14852.197265625,2
"975",13822.9194335938,0
"976",14041.6000976562,0
"977",12362.8681640625,1
"978",7956.64526367188,4
"979",13180.2553710938,0
"980",12438.1147460938,0
"981",8228.70654296875,0
"982",12898.1337890625,4
"983",11929.2392578125,0
"984",15084.6411132812,1
"985",12433.8232421875,0
"986",15645.4545898438,0
"987",11817.9384765625,0
"988",12673.6982421875,0
"989",15118.2661132812,4
"990",11681.9462890625,3
"991",7605.33349609375,0
"992",10932.7099609375,4
"993",13098.5888671875,0
"994",16128,0
"995",15867.28515625,4
"996",13891.6420898438,0
"997",15159.4033203125,2
"998",11515.7573242188,0
"999",12238.087890625,0
"1000",14908.2353515625,1
"1001",15896.1684570312,0
"1002",13191.2451171875,3
"1003",13974.5693359375,4
"1004",15573.767578125,0
"1005",15543.7177734375,4
"1006",15309.6401367188,0
"1007",15668.7861328125,0
"1008",14930.9296875,4
"1009",14830.64453125,0
"1010",15429.818359375,0
"1011",10867.056640625,0
"1012",14502.400390625,0
"1013",13915.1577148438,1
"1014",12181.4892578125,0
"1015",8875.43359375,0
"1016",10978.6875,0
"1017",15800.3203125,4
"1018",12049.8603515625,2
"1019",13509.2783203125,1
"1020",12678.46484375,4
"1021",15859.4033203125,4
"1022",13736.322265625,2
"1023",13680.4482421875,0
"1024",14438.158203125,0
"1025",15791.9028320312,4
"1026",15994.4189453125,0
"1027",14951.6591796875,4
"1028",15089.77734375,2
"1029",11770.0219726562,0
"1030",15151.0205078125,2
"1031",13970.4106445312,0
"1032",14110.6870117188,2
"1033",13566.5737304688,1
"1034",13138.3959960938,0
"1035",15346.0361328125,0
"1036",12588.455078125,0
"1037",13131.3579101562,4
"1038",15056.5927734375,0
"1039",14101.3330078125,0
"1040",12463.5131835938,3
"1041",14405.189453125,3
"1042",15820.7998046875,0
"1043",14617.0439453125,3
"1044",12392.15234375,0
"1045",13740.3076171875,0
"1046",12365.99609375,0
"1047",15831.365234375,0
"1048",10897.8579101562,0
"1049",12359.5322265625,2
"1050",12713.7397460938,0
"1051",12781.4428710938,0
"1052",12734.7426757812,0
"1053",15672.888671875,1
"1054",11332.9228515625,0
"1055",15195.3002929688,3
"1056",14483.3427734375,0
"1057",12883.3828125,0
"1058",14220.3125,3
"1059",15835.4287109375,4
"1060",14052.8486328125,0
"1061",14440,0
"1062",14874.2387695312,2
"1063",15815.3100585938,4
"1064",15710.5234375,0
"1065",13929.1787109375,2
"1066",15740.2319335938,0
"1067",12452.73046875,0
"1068",15607.169921875,1
"1069",14340.0634765625,0
"1070",14374.5380859375,0
"1071",13263.443359375,1
"1072",11702.1923828125,0
"1073",13926.400390625,0
"1074",12040.521484375,0
"1075",15155.2001953125,2
"1076",15756.7998046875,4
"1077",13019.4287109375,1
"1078",13417.2626953125,1
"1079",14841.5458984375,4
"1080",12310.2607421875,4
"1081",15199.853515625,0
"1082",15260.2705078125,0
"1083",14500.1025390625,3
"1084",15507.576171875,1
"1085",12371.1997070312,3
"1086",14121.3774414062,4
"1087",14867.0634765625,0
"1088",13821.8115234375,0
"1089",12609.6674804688,2
"1090",15380.2109375,0
"1091",15440.9243164062,0
"1092",13948.8779296875,4
"1093",15371.2529296875,4
"1094",11510.150390625,0
"1095",15564.5893554688,4
"1096",11304.0966796875,3
"1097",13010.4111328125,0
"1098",12541.4404296875,2
"1099",12101.2641601562,0
"1100",15380.5200195312,0
"1101",12590.97265625,0
"1102",10983.80859375,2
"1103",11520,0
"1104",14635.0654296875,2
"1105",15224.5385742188,0
"1106",14321.1479492188,0
"1107",14481.98046875,3
"1108",15568.6323242188,4
"1109",15341.458984375,0
"1110",13435.7802734375,0
"1111",15681.015625,4
"1112",12663.7255859375,0
"1113",13650.5810546875,1
"1114",13824,4
